,x_shift,y_shift,cluster
383,-4409.424526081244,-10433.008326454707,cluster_5
384,-4406.311392066707,-10440.295766905007,cluster_5
385,-4416.064487242666,-10417.465043920058,cluster_5
386,-4410.258491607557,-10431.05612199379,cluster_5
387,-4409.500905899311,-10432.829531268515,cluster_5
388,-4400.759055782939,-10453.293061540913,cluster_5
389,-4393.737631847918,-10469.729298645982,cluster_5
390,-4403.366921887525,-10447.188387328117,cluster_5
391,-4400.688165878638,-10453.459005555438,cluster_5
392,-4415.607231466562,-10418.53542001802,cluster_5
393,-4394.757896365572,-10467.340992559175,cluster_5
394,-4399.43754624105,-10456.386542915647,cluster_5
395,-4407.802806674067,-10436.804559945365,cluster_5
396,-4387.186124936619,-10485.06552132476,cluster_5
397,-4396.140304485774,-10464.104955560144,cluster_5
398,-4406.320159983886,-10440.275242355143,cluster_5
